Name,Url,PaperCount,AuthorContribution
Anne Kaikkonen,https://dl.acm.org/profile/81100306087,2,0.8333333333333333
Abhijit Karnik,https://dl.acm.org/profile/81484644010,2,0.45
George Buchanan,https://dl.acm.org/profile/81100456135,2,0.5833333333333333
Hendrik Knoche,https://dl.acm.org/profile/81100236787,2,0.75
Hans Werner Gellersen,https://dl.acm.org/profile/81452616827,2,0.6666666666666666
Anna Maria Feit,https://dl.acm.org/profile/81556550256,2,0.45
Robin Welsch,https://dl.acm.org/profile/99659691232,2,0.375
Markku Turunen,https://dl.acm.org/profile/81100155914,2,0.29166666666666663
Jarrod Knibbe,https://dl.acm.org/profile/87258776157,2,0.4
Jesse W Grootjen,https://dl.acm.org/profile/99660573333,2,0.5
Daniele Quercia,https://dl.acm.org/profile/81100232264,2,0.45
Aaron Steinfeld,https://dl.acm.org/profile/81100236968,2,0.39285714285714285
Gina Danielle Venolia,https://dl.acm.org/profile/81100190815,2,0.5833333333333333
Jonas Auda,https://dl.acm.org/profile/87259206957,2,0.45
Roman Heger,https://dl.acm.org/profile/99659587335,2,0.30952380952380953
Tomi Heimonen,https://dl.acm.org/profile/81100238527,2,0.29166666666666663
Erno Mäkinen,https://dl.acm.org/profile/81100185951,2,0.29166666666666663
Koji Yatani,https://dl.acm.org/profile/81100158260,2,0.5333333333333333
Seungmoon Choi,https://dl.acm.org/profile/81100480604,2,0.5
Donald McMillan,https://dl.acm.org/profile/81484646781,2,0.6666666666666666
Kening Zhu,https://dl.acm.org/profile/81455605722,2,0.3666666666666667
Silvia Gabrielli,https://dl.acm.org/profile/81100341621,2,0.5833333333333333
Cheng Zhang,https://dl.acm.org/profile/81488647680,2,0.26785714285714285
Katrin Wolf,https://dl.acm.org/profile/81467663120,2,0.7
Daniel Boland,https://dl.acm.org/profile/81484650735,2,0.8333333333333333
Hussel Suriyaarachchi,https://dl.acm.org/profile/99659884626,2,0.4
Bonnie MacKay,https://dl.acm.org/profile/81100237603,2,0.75
Guido Grassel,https://dl.acm.org/profile/81467662846,2,0.4
Juan Pablo Carrascal,https://dl.acm.org/profile/83458916757,2,0.5333333333333333
Kai Holländer,https://dl.acm.org/profile/99659332546,2,0.5
Yanqing Cui,https://dl.acm.org/profile/81100229136,2,0.7
Andrea Rosales,https://dl.acm.org/profile/81464644737,2,0.6428571428571428
Yun Huang,https://dl.acm.org/profile/99658635613,2,0.5
Andreas Löcken,https://dl.acm.org/profile/81474696117,2,0.3666666666666667
Robert Walter,https://dl.acm.org/profile/81488640442,2,0.5833333333333333
Limin Zeng,https://dl.acm.org/profile/81472653404,2,0.8333333333333333
Ross McLachlan,https://dl.acm.org/profile/81484640929,2,0.8333333333333333
Reuben Kirkham,https://dl.acm.org/profile/83458712957,2,0.6428571428571428
Ioannis Giannopoulos,https://dl.acm.org/profile/81552823457,2,0.6666666666666666
Rachel Demumieux,https://dl.acm.org/profile/81100403350,2,0.7
Kamer Ali Yuksel,https://dl.acm.org/profile/81456611317,2,0.6666666666666666
Daniel Gática-Pérez,https://dl.acm.org/profile/81100273781,2,0.47619047619047616
Eva Hornecker,https://dl.acm.org/profile/81100374937,2,0.4583333333333333
Daniel Fitton,https://dl.acm.org/profile/81100381789,2,0.26785714285714285
Chulhong Min,https://dl.acm.org/profile/81486645535,2,0.5
Georg Regal,https://dl.acm.org/profile/82659079657,2,0.41666666666666663
Homei Miyashita,https://dl.acm.org/profile/81461654671,2,0.47619047619047616
Juan Liu,https://dl.acm.org/profile/99659801245,2,0.325
Shahriyar Amini,https://dl.acm.org/profile/81477642257,2,0.4
Teng Han,https://dl.acm.org/profile/81488652855,2,0.5333333333333333
Martin Weigel,https://dl.acm.org/profile/81461648625,2,0.41666666666666663
Konstantin (Kosta) Beznosov,https://dl.acm.org/profile/81100388506,2,0.45
Yomna Abdelrahman,https://dl.acm.org/profile/87959289757,2,0.375
Dominik Weber,https://dl.acm.org/profile/87959271257,2,0.3666666666666667
Antonio Gomes,https://dl.acm.org/profile/81553301859,2,0.5333333333333333
Henry Been Lirn Duh,https://dl.acm.org/profile/81100369572,2,0.6666666666666666
Maria Husmann,https://dl.acm.org/profile/87959252957,2,0.4
Shiri Azenkot,https://dl.acm.org/profile/81466647758,2,0.75
Alexander Ng,https://dl.acm.org/profile/81557753656,2,0.6666666666666666
Tetsuo Ono,https://dl.acm.org/profile/81100261578,2,0.5833333333333333
Simon Rogers,https://dl.acm.org/profile/81100173811,2,0.6666666666666666
Kevin Fan,https://dl.acm.org/profile/81558433756,2,0.23376623376623376
Bodo Urban,https://dl.acm.org/profile/81100171887,2,0.5
Joohwee Lim,https://dl.acm.org/profile/81100398871,2,0.3333333333333333
John Zimmerman,https://dl.acm.org/profile/81406592256,2,0.39285714285714285
Antti Oi Nurminen,https://dl.acm.org/profile/81318490829,2,1.5
Sergio Mascetti,https://dl.acm.org/profile/81100486915,2,0.5833333333333333
Jari M E Takatalo,https://dl.acm.org/profile/81100539913,2,0.45
Joachim Meyer,https://dl.acm.org/profile/81100571957,2,0.5
Girish Dalvi,https://dl.acm.org/profile/81488672229,2,0.325
Sebastian Hueber,https://dl.acm.org/profile/99659528508,2,0.4
Peter FrÖehlich,https://dl.acm.org/profile/81100577868,2,0.5
Tony Thorpe,https://dl.acm.org/profile/81100582562,2,0.5
Denys Jörg C Matthies,https://dl.acm.org/profile/81548327356,2,0.5
Benedict Steuerlein,https://dl.acm.org/profile/99659469052,2,0.75
Reinhard Pointner,https://dl.acm.org/profile/99658735397,2,0.30952380952380953
Ravin Balakrishnan,https://dl.acm.org/profile/81100503904,2,0.5
Jilong Kuang,https://dl.acm.org/profile/99659433386,2,0.26785714285714285
Ebrahim Nemati,https://dl.acm.org/profile/99659432984,2,0.26785714285714285
